sort,action,replacement_avibaseid,note
29,repair_id,avibase-D5813CA4,Correct malformed legacy Avibase ID.
71,repair_id,avibase-8B6EA5FA,Correct malformed legacy Avibase ID.
262,repair_id,avibase-943CDEAC,Restore missing legacy Avibase ID.
331,remove_duplicate_after_first,,Keep the first Great Cormorant row and remove subsequent rows with the same sort value.
409,repair_id,avibase-38E24616,Correct malformed legacy Avibase ID.
463,repair_id,avibase-56790B57,Correct malformed legacy Avibase ID.
470,repair_id,avibase-7749C92B,Restore missing legacy Avibase ID.
517.2,repair_id,avibase-2BD7F8B5,Correct Rock Kestrel to its Avibase taxonomic concept.
531.1,repair_id,avibase-B46C6125,Correct Peregrine Falcon passage-migrant taxon to its Avibase taxonomic concept.
541,repair_id,avibase-7B0E2F01,Restore missing legacy Avibase ID.
591,repair_id,avibase-FBB58997,Correct malformed legacy Avibase ID.
592,repair_id,avibase-0133C47B,Correct malformed legacy Avibase ID.
685,repair_id,avibase-A31AC101,Correct malformed legacy Avibase ID.
726,repair_id,avibase-BE3C45B5,Correct Red-headed Weaver to its Avibase taxonomic concept.
756,repair_id,avibase-ECC40D44,Correct malformed legacy Avibase ID.
862,repair_id,avibase-183E7FD0,Correct Yellow-bellied Eremomela to its Avibase taxonomic concept.
774,repair_id,avibase-A61F55E3,Correct Rufous Sparrow to its Avibase taxonomic concept.
775.1,repair_id,avibase-2F9F81C9,Correct Northern Grey-headed Sparrow subspecies to its Avibase taxonomic concept.
777,repair_id,avibase-FCD72CEE,Correct malformed legacy Avibase ID.
789,repair_id,avibase-0D9BFED1,Correct malformed legacy Avibase ID.
809,remove_duplicate,,Remove duplicate legacy species row; the historical Stripe-breasted Seedeater row remains.
863,repair_id,avibase-D46EE5F8,Correct malformed legacy Avibase ID.
869,repair_id,avibase-B285E2B0,Keep the first of the duplicate legacy rows.
869.1,remove_duplicate,,Remove duplicate legacy row.
871,repair_id,avibase-E70F9747,Keep the original species row.
871.1,repair_id,avibase-CA02C9A1,Correct Yellow-breasted Apalis subspecies to its Avibase taxonomic concept.
909,repair_id,avibase-AEE2063F,Correct malformed legacy Avibase ID.
925,repair_id,avibase-ED9EE880,Correct Little Rush Warbler to its Avibase taxonomic concept.
926,repair_id,avibase-D6A69E06,Correct Highland Rush Warbler to its Avibase taxonomic concept.
967,repair_id,avibase-C73137EA,Correct malformed legacy Avibase ID.
975,repair_id,avibase-728B225E,Correct malformed legacy Avibase ID.
985,repair_id,avibase-651384DF,Correct malformed legacy Avibase ID.
991,repair_id,avibase-F6B77E64,Correct malformed legacy Avibase ID.
